Time,kW Total,kVAr R,kVA R,Volts R,Amps R
22-04-18 / 09:00,0.45,0.15,0.47,246.77,1.92
22-04-18 / 10:00,0.59,0.16,0.61,248.21,2.47
22-04-18 / 11:00,0.0,0.0,0.0,0.0,0.0
22-04-18 / 12:00,0.74,0.15,0.75,247.86,3.06
22-04-18 / 13:00,0.7,0.16,0.72,250.11,2.88
22-04-18 / 14:00,0.65,0.15,0.67,248.19,2.7
22-04-18 / 15:00,0.55,0.14,0.56,246.71,2.31
22-04-18 / 16:00,0.35,0.15,0.38,244.74,1.58
22-04-18 / 17:00,0.16,0.14,0.22,244.26,0.9
22-04-18 / 18:00,0.02,0.09,0.09,243.47,0.38
22-04-18 / 19:00,0.0,0.06,0.06,245.31,0.25
22-04-18 / 20:00,0.0,0.05,0.05,244.7,0.24
22-04-18 / 21:00,0.0,0.05,0.05,242.75,0.24
22-04-18 / 22:00,0.0,0.06,0.06,242.32,0.24
22-04-18 / 23:00,0.01,0.07,0.07,245.38,0.24
23-04-18 / 00:00,0.0,0.05,0.05,244.7,0.24
23-04-18 / 01:00,0.0,0.06,0.07,245.68,0.24
23-04-18 / 02:00,0.0,0.06,0.06,247.11,0.24
23-04-18 / 03:00,0.0,0.06,0.06,244.26,0.24
23-04-18 / 04:00,0.0,0.06,0.06,244.58,0.24
23-04-18 / 05:00,0.0,0.06,0.06,243.36,0.24
23-04-18 / 06:00,0.0,0.06,0.06,243.02,0.24
23-04-18 / 07:00,0.08,0.12,0.14,243.07,0.63
23-04-18 / 08:00,0.25,0.15,0.29,243.92,1.21
23-04-18 / 09:00,0.43,0.15,0.45,244.56,1.85
23-04-18 / 10:00,0.6,0.14,0.62,247.81,2.49
23-04-18 / 11:00,0.68,0.14,0.69,247.55,2.8
23-04-18 / 12:00,0.73,0.13,0.74,248.52,2.98
23-04-18 / 13:00,0.71,0.15,0.73,247.5,2.95
23-04-18 / 14:00,0.64,0.14,0.66,247.98,2.66
23-04-18 / 15:00,0.53,0.14,0.54,246.4,2.22
